ファイルNo.,ファイルパス,行数,ID,種別,ステータスコード,"エラー内容(エラーコード, フィールド名, メッセージ)"
1,/published_papers.csv,3,48844193,published_papers,400,"found_similar_data,,指定されたリソースは類似のデータが見つかったため更新できませんでした[48844193]。"
1,/published_papers.csv,5,48844194,published_papers,400,"found_similar_data,,指定されたリソースは類似のデータが見つかったため更新できませんでした[48844194]。"
1,/published_papers.csv,6,48844137,published_papers,400,"found_similar_data,,指定されたリソースは類似のデータが見つかったため更新できませんでした[48844137]。"
1,/published_papers.csv,7,,published_papers,400,"invalid_url,2(see_also.1.@id),書式が不正です。URL形式で入力してください。"
1,/published_papers.csv,8,48844185,published_papers,400,"found_similar_data,,指定されたリソースは類似のデータが見つかったため更新できませんでした[48844185]。"
1,/published_papers.csv,9,48844192,published_papers,400,"found_similar_data,,指定されたリソースは類似のデータが見つかったため更新できませんでした[48844192]。"
1,/published_papers.csv,10,48844192,published_papers,400,"found_similar_data,,指定されたリソースは類似のデータが見つかったため更新できませんでした[48844192]。"
1,/published_papers.csv,11,48844191,published_papers,400,"found_similar_data,,指定されたリソースは類似のデータが見つかったため更新できませんでした[48844191]。"
1,/published_papers.csv,13,52660469,published_papers,400,"found_similar_data,,指定されたリソースは類似のデータが見つかったため更新できませんでした[52660469]。"
1,/published_papers.csv,14,52660468,published_papers,400,"found_similar_data,,指定されたリソースは類似のデータが見つかったため更新できませんでした[52660468]。"
1,/published_papers.csv,20,48844137,published_papers,400,"found_similar_data,,指定されたリソースは類似のデータが見つかったため更新できませんでした[48844137]。"
1,/published_papers.csv,21,52681424,published_papers,400,"found_similar_data,,指定されたリソースは類似のデータが見つかったため更新できませんでした[52681424]。"
