presentations
アクション名,アクションタイプ,類似業績マージ優先度,ID,会員 ID,公開の有無,主要な業績かどうか,タイトル(日本語),タイトル(英語),講演者(日本語),講演者(英語),会議名(日本語),会議名(英語),発表年月日,開催年月日(From),開催年月日(To),招待の有無,記述言語,会議種別,主催者(日本語),主催者(英語),開催地(日本語),開催地(英語),国・地域,概要(日本語),概要(英語),国際・国内会議,国際共著,URL,URL2
insert,merge,null,null,null,disclosed,FALSE,HaptoMapping: 映像への不可視な情報埋め込みによる視触覚重畳提示,null,"[宮武大和,平木剛史,前田智祐,岩井大輔,佐藤宏介]",null,情報処理学会 インタラクション2020論文集,null,2020-03-09,null,null,null,jpn,oral_presentation,null,null,null,null,null,本研究では，映像に対する触覚提示の位置ずれ・時間遅れを知覚不可能なレベルに低減する視触覚重畳システムを開発し，視覚情報に対応した触覚刺激の提示を再現する手法を提案する．本手法では，空間分割型可視光通信を用いて映像に不可視の触覚刺激情報を埋め込み，この情報を用いて触覚提示デバイスを制御することで，位置ずれと時間遅れの低減，視覚情報に対応した触覚刺激の提示を実現する．この手法を用いて，振動子の異なる2種類の触覚提示デバイスと，このデバイスを用いた視触覚重畳システムを開発した．そしてデバイスの映像に対する触覚刺激提示の遅延時間を測定し，実装した視触覚重畳システムを用いて人間の視覚と触覚の遅延知覚に関する主観評価実験を行った．その結果，開発したデバイスは遅延時間を人間には知覚不可能なレベルまで低減できており，本システムにおける人間の遅延知覚の刺激閾は約100 msであることを明らかにした.,null,FALSE,null,null,null
insert,merge,null,null,null,disclosed,FALSE,null,HaptoMapping: Visuo-Haptic AR System using Projection-based Control of Wearable Haptic Devices,null,"[Yamato Miyatake,Takefumi Hiraki,Tomosuke Maeda,Daisuke Iwai,Kosuke Sato]",null,In ACM SIGGRAPH Asia 2020 Emerging Technologies,2020-09-06,null,null,null,eng,poster_presentation,null,null,null,null,null,null,"Visuo-haptic augmented reality (AR) systems that present visual and haptic sensations in a spatially and temporally consistent manner have the potential to improve AR applications’ performance. However, there are issues such as enclosing the user’s view with a display, restricting the workspace to a limited amount of flat space, or changing the visual information presented in conventional systems. In this paper, we propose “HaptoMapping,” a novel projection-based AR system, that can present consistent visuo-haptic sensations on a non-planar physical surface without installing any visual displays to users and by keeping the quality of visual information. We implemented a prototype of HaptoMapping consisting of a projection system and a wearable haptic device. Also, we introduce three application scenarios in daily scenes.",TRUE,null,https://www.miyatakeyama.to/publication/conference/2020/SIGGRAPHAsia/SIGGRAPHAsia2020_HaptoMapping.pdf,null
insert,merge,null,null,null,disclosed,FALSE,3Dプリント食品内部への情報埋め込み,null,"[宮武大和,プンポンサノン・パリンヤ,岩井大輔,佐藤宏介]",null,情報処理学会 第84回全国大会講演論文集,null,2022-03-03,null,null,null,jpn,oral_presentation,null,null,null,null,null,null,null,FALSE,null,/files/IPSJT_2022_miyatake.pdf,null
insert,merge,null,null,null,disclosed,FALSE,センサ内蔵スマートテーブルウェアの構築とロボットアームによるフィードバックの検討,null,"[松田綾美,宮武大和,プンポンサノン・パリンヤ,岩井大輔,佐藤宏介]",null,第66回システム制御情報学会研究発表講演会講演論文集（SCI'22）,null,2022-05-27,null,null,null,jpn,oral_presentation,null,null,null,null,null,null,null,FALSE,null,null,null
insert,merge,null,null,null,disclosed,FALSE,null,Demonstration of interiqr: Unobtrusive Edible Tags using Food 3D Printing,null,"[Yamato Miyatake,Parinya Punpongsanon,Daisuke Iwai,Kosuke Sato]",null,The ACM Symposium on User Interface Software and Technology (UIST),2022-10-27,null,null,null,eng,poster_presentation,null,null,null,null,null,null,null,TRUE,null,https://www.dropbox.com/s/0v4rypppd5t4pc8/UIST_2022_Interiqr_Miyatake.pdf?dl=0,null
insert,merge,null,null,null,disclosed,FALSE,null,An Exploratory Study on Fabricating of Unobtrusive Edible Tags,null,"[Yamato Miyatake,Parinya Punpongsanon]",null,In ACM SIGGRAPH Asia 2024 Posters,2024-12-06,null,null,null,eng,poster_presentation,null,null,null,null,null,null,null,TRUE,null,null,null
insert,merge,null,null,null,disclosed,FALSE,食品の電気抵抗情報を用いた可食センサーに関する研究,null,"[神尾幸希,宮武大和,プンポンサノン・パリンヤ]",null,情報処理学会 第87回全国大会講演論文集,null,2025-03-03,null,null,null,jpn,oral_presentation,null,null,null,null,null,null,null,FALSE,null,null,null
insert,merge,null,null,null,disclosed,FALSE,null,An Exploratory Study on Edible Conductive Materials Using Water and Oil-based Gels for Human-Food Interaction,null,"[Yamato Miyatake,Parinya Punpongsanon]",null,The ACM Symposium on User Interface Software and Technology (UIST) 2025 Posters,2025-10-01,null,null,null,eng,poster_presentation,null,null,null,null,null,null,null,TRUE,null,null,null
insert,merge,null,null,null,disclosed,FALSE,null,Towards Personalized Food Texture through Internal Structure with 3D Printed Silicone Molds,null,"[Yamato Miyatake,Huaishu Peng,Parinya Punpongsanon]",null,The ACM Symposium on User Interface Software and Technology (UIST) 2025 Posters,2025-10-01,null,null,null,eng,poster_presentation,null,null,null,null,null,null,null,TRUE,null,null,null
insert,merge,null,null,null,disclosed,FALSE,着色要因による食欲変化と味覚への影響 ―クッキー事例として―,null,"[見澤宏紀,岡部兼也,山田蒼,宮武大和,プンポンサノン・パリンヤ]",null,電子情報通信学会　総合大会,null,2026-03-12,null,null,null,jpn,oral_presentation,null,null,null,null,null,null,null,FALSE,null,null,null
insert,merge,null,null,null,disclosed,FALSE,機能推定による自動パラメータ生成を用いた3Dモデル編集の検討,null,"[岡部兼也,宮武大和,プンポンサノン・パリンヤ]",null,電子情報通信学会　総合大会,null,2026-03-12,null,null,null,jpn,oral_presentation,null,null,null,null,null,null,null,FALSE,null,null,null
insert,merge,null,null,null,disclosed,FALSE,代替食品における食感と構造改変との関連性に関する研究,null,"[大澤璃乙,山田蒼,岡部兼也,宮武大和,プンポンサノン・パリンヤ]",null,電子情報通信学会　総合大会,null,2026-03-12,null,null,null,jpn,oral_presentation,null,null,null,null,null,null,null,FALSE,null,null,null
insert,merge,null,null,null,disclosed,FALSE,内部構造を制御した食品の咀嚼音特性に基づく食事摂取量推定,null,"[山田蒼,宮武大和,雨坂宇宙,岩井大輔,プンポンサノン・パリンヤ]",null,電子情報通信学会　総合大会,null,2026-03-12,null,null,null,jpn,oral_presentation,null,null,null,null,null,null,null,FALSE,null,null,null
