published_papers
アクション名,アクションタイプ,類似業績マージ優先度,ID,公開の有無,主要な業績かどうか,タイトル(日本語),タイトル(英語),著者(日本語),著者(英語),担当区分,概要(日本語),概要(英語),出版者・発行元(日本語),出版者・発行元(英語),出版年月,誌名(日本語),誌名(英語),巻,号,開始ページ,終了ページ,記述言語,査読の有無,招待の有無,掲載種別,国際・国内誌,国際共著,ISSN,eISSN,DOI,URL,URL2
insert,merge,null,null,disclosed,FALSE,null,Visuo-Haptic Display by Embedding Imperceptible Spatial Haptic Information into Projected Images,null,"[Yamato Miyatake,Takefumi Hiraki,Tomosuke Maeda,Daisuke Iwai,Kosuke Sato]",null,null,"We propose a novel projection-based AR system that can present consistent visuo-haptic sensations on a non-planar physical surface without inserting any visual display devices between a user and the surface. The core technical contribution is controlling wearable haptic displays using a pixel-level visible light communication projector. The projection system can embed spatial haptic information into each pixel, and the haptic displays vibrate according to the detected pixel information. We confirm that the proposed system can display visuo-haptic information with pixel-precise alignment with a delay of 85 ms. We can also employ the proposed system as a novel experimental platform to clarify the spatio-temporal perceptual characteristics of visual and haptic sensations. As a result of the conducted user studies, we revealed that the noticeable thresholds of visual-haptic asynchrony were about 100 ms (temporal) and 10 mm (spatial), respectively.",null,null,2020-09-05,null,"Haptics: Science, Technology, Applications (Proceedings of the 12th International Conference on Human Haptic Sensing and Touch Enabled Computer Applications – EuroHaptics 2020)",null,null,null,null,eng,null,null,international_conference_proceedings,TRUE,null,null,null,10.1007/978-3-030-58147-3_25,https://link.springer.com/content/pdf/10.1007/978-3-030-58147-3_25.pdf,null
insert,merge,null,null,disclosed,FALSE,HaptoMapping: 映像への不可視な情報埋め込みによる視触覚重畳提示,null,"[宮武大和,平木剛史,前田智祐,岩井大輔,佐藤宏介]",null,null,本研究では，映像に対する触覚提示の位置ずれ・時間遅れを知覚不可能なレベルに低減する視触覚重畳システムを開発し，視覚情報に対応した触覚刺激の提示を再現する手法を提案する．本手法では，空間分割型可視光通信を用いて映像に不可視の触覚刺激情報を埋め込み，この情報を用いて触覚提示デバイスを制御することで，位置ずれと時間遅れの低減，視覚情報に対応した触覚刺激の提示を実現する．この手法を用いて，振動子の異なる2種類の触覚提示デバイスと，このデバイスを用いた視触覚重畳システムを開発した．そしてデバイスの映像に対する触覚刺激提示の遅延時間を測定し，実装した視触覚重畳システムを用いて人間の視覚と触覚の遅延知覚に関する主観評価実験を行った．その結果，開発したデバイスは遅延時間を人間には知覚不可能なレベルまで低減できており，本システムにおける人間の遅延知覚の刺激閾は約100 msであることを明らかにした.,null,null,null,2020-03-09,情報処理学会 インタラクション2020論文集,null,null,null,null,null,jpn,FALSE,null,research_society,FALSE,null,null,null,null,null,null
insert,merge,null,null,disclosed,FALSE,null,HaptoMapping: Visuo-Haptic AR System using Projection-based Control of Wearable Haptic Devices,null,"[Yamato Miyatake,Takefumi Hiraki,Tomosuke Maeda,Daisuke Iwai,Kosuke Sato]",null,null,"Visuo-haptic augmented reality (AR) systems that present visual and haptic sensations in a spatially and temporally consistent manner have the potential to improve AR applications’ performance. However, there are issues such as enclosing the user’s view with a display, restricting the workspace to a limited amount of flat space, or changing the visual information presented in conventional systems. In this paper, we propose “HaptoMapping,” a novel projection-based AR system, that can present consistent visuo-haptic sensations on a non-planar physical surface without installing any visual displays to users and by keeping the quality of visual information. We implemented a prototype of HaptoMapping consisting of a projection system and a wearable haptic device. Also, we introduce three application scenarios in daily scenes.",null,null,2020-09-06,null,In ACM SIGGRAPH Asia 2020 Emerging Technologies,null,null,null,null,eng,null,null,research_society,TRUE,null,null,null,10.1145/3415255.3422891,https://www.miyatakeyama.to/publication/conference/2020/SIGGRAPHAsia/SIGGRAPHAsia2020_HaptoMapping.pdf,null
insert,merge,null,null,disclosed,FALSE,null,HaptoMapping: Visuo-Haptic Augmented Reality by Embedding User-Imperceptible Tactile Display Control Signals in a Projected Image,null,"[Yamato Miyatake,Takefumi Hiraki,Daisuke Iwai,Kosuke Sato]",null,null,"This paper proposes HaptoMapping, a projection-based visuo-haptic augmented reality (VHAR) system, that can render visual and haptic content independently and present consistent visuo-haptic sensations on physical surfaces. HaptoMapping controls wearable haptic displays by embedded control signals that are imperceptible to the user in projected images using a pixel-level visible light communication technique. The prototype system is comprised of a high-speed projector and three types of haptic devices—finger worn, stylus, and arm mounted. The finger-worn and stylus devices present vibrotactile sensations to a user’s fingertips. The arm-mounted device presents stroking sensations on a user’s forearm using arrayed actuators with a synchronized hand projection mapping. We identified that the developed system’s maximum latency of haptic from visual sensations was 93.4 ms. We conducted user studies on the latency perception of our VHAR system. The results revealed that the developed haptic devices can present haptic sensations without user-perceivable latencies, and the visual-haptic latency tolerance of our VHAR system was 100, 159, 500 ms for the finger-worn, stylus, and arm-mounted devices, respectively. Another user study with the arm-mounted device discovered that the visuo-haptic stroking system maintained both continuity and pleasantness when the spacing between each substrate was relatively sparse, such as 20 mm, and significantly improved both the continuity and pleasantness at 80 and 150 mm/s when compared to the haptic only stroking system. Lastly, we introduced four potential applications in daily scenes. Our system methodology allows for a wide range of VHAR application design without concern for latency and misalignment effects.",null,null,2023-12-29,null,IEEE Conference on Virtual Reality and 3D User Interfaces (VR),null,null,null,null,eng,null,null,international_conference_proceedings,TRUE,null,null,null,10.1109/TVCG.2021.3136214,https://ieeexplore.ieee.org/document/9665216,null
insert,merge,null,null,disclosed,FALSE,3Dプリント食品内部への情報埋め込み,null,"[宮武大和,プンポンサノン・パリンヤ,岩井大輔,佐藤宏介]",null,null,null,null,null,null,2022-03-03,情報処理学会 第84回全国大会講演論文集,null,null,null,null,null,jpn,FALSE,null,research_society,FALSE,null,null,null,null,/files/IPSJT_2022_miyatake.pdf,null
insert,merge,null,null,disclosed,FALSE,センサ内蔵スマートテーブルウェアの構築とロボットアームによるフィードバックの検討,null,"[松田綾美,宮武大和,プンポンサノン・パリンヤ,岩井大輔,佐藤宏介]",null,null,null,null,null,null,2022-05-27,第66回システム制御情報学会研究発表講演会講演論文集（SCI'22）,null,null,null,null,null,jpn,FALSE,null,research_society,FALSE,null,null,null,null,null,null
insert,merge,null,null,disclosed,FALSE,null,interiqr: Unobtrusive Edible Tags using Food 3D Printing,null,"[Yamato Miyatake,Parinya Punpongsanon,Daisuke Iwai,Kosuke Sato]",null,null,null,null,null,2022-10-27,null,The ACM Symposium on User Interface Software and Technology (UIST),null,null,null,null,eng,null,null,international_conference_proceedings,TRUE,null,null,null,10.1145/3526113.3545669,https://www.dropbox.com/s/0v4rypppd5t4pc8/UIST_2022_Interiqr_Miyatake.pdf?dl=0,null
insert,merge,null,null,disclosed,FALSE,null,Demonstration of interiqr: Unobtrusive Edible Tags using Food 3D Printing,null,"[Yamato Miyatake,Parinya Punpongsanon,Daisuke Iwai,Kosuke Sato]",null,null,null,null,null,2022-10-27,null,The ACM Symposium on User Interface Software and Technology (UIST),null,null,null,null,eng,null,null,research_society,TRUE,null,null,null,10.1145/3526114.3558630,https://www.dropbox.com/s/0v4rypppd5t4pc8/UIST_2022_Interiqr_Miyatake.pdf?dl=0,null
insert,merge,null,null,disclosed,FALSE,null,An Exploratory Study on Fabricating of Unobtrusive Edible Tags,null,"[Yamato Miyatake,Parinya Punpongsanon]",null,null,null,null,null,2024-12-06,null,In ACM SIGGRAPH Asia 2024 Posters,null,null,null,null,eng,null,null,research_society,TRUE,null,null,null,null,null,null
insert,merge,null,null,disclosed,FALSE,食品の電気抵抗情報を用いた可食センサーに関する研究,null,"[神尾幸希,宮武大和,プンポンサノン・パリンヤ]",null,null,null,null,null,null,2025-03-03,情報処理学会 第87回全国大会講演論文集,null,null,null,null,null,jpn,FALSE,null,research_society,FALSE,null,null,null,null,null,null
